result,question_id,question,A,B,C,D,answer,subject,correct,model_name
A,177,The crown of a very carious tooth suddenly fractures while the patient is standing eating at a take-away food outlet and a fragment is inhaled. It is more likely to enter the,right lung because the right main bronchus is wider and more vertical than the left.,left lung because the left main bronchus is wider and more vertical than the right.,right lung or left lung because the two main bronchi are of equal size and at the same angulation.,right or left lung because there are no factors predisposing to the fragment going in one particular direction.,A,anatomy,True,X
C,178,"Calcium, potassium, and sodium are classified as which of the following?",Androgens,Catecholamines,Electrolytes,Estrogens,C,anatomy,True,X
A,179,Noradrenaline is the neurotransmitter between which of the two structures below?,sympathetic post-ganglionic neurons and target organs,sympathetic pre- and post-ganglionic neurons,parasympathetic post-ganglionic neurons and target organs,parasympathetic pre- and post-ganglionic neurons,A,anatomy,True,X
C,180,Which of the following are mucus-producing glands located on each side of the vaginal opening?,Bulbourethral,Adrenal,Bartholin's,Corpus luteum,C,anatomy,True,X
B,181,"When an emergency opening into the airway is required, the cricothyroid membrane should be pierced immediately",superior to the thyroid cartilage.,inferior to the thyroid cartilage.,inferior to the cricoid cartilage.,superior to the thyroid isthmus.,B,anatomy,True,X
B,183,Which of the following closes and seals off the lower airway during swallowing?,Alveoli,Epiglottis,Larynx,Uvula,B,anatomy,True,X
A,184,Which orbital wall is most likely to collapse in a 'blow out' fracture?,The floor,The roof,The lateral wall,The medial wall,A,anatomy,True,X
A,185,The walls of the maxillary sinus are sinus is related to,the floor of the orbit and the upper posterior teeth.,"the floor of the orbit, the upper posterior teeth and the infratemporal fossa.",the floor of the orbit.,"the floor of the orbit, the upper posterior teeth, the infratemporal fossa and the hard palate.",B,anatomy,False,X
A,186,Which of one of the following statements about the postnatal growth of the maxilla is correct?,The zygomaticomaxillary sutures contribute to increase in height and length of the maxilla,Space is created for the eruption of the permanent molars by resorption of the maxillary tuberosity,Pneumatisation by enlargement of the developing maxillary sinus ceases at puberty,The intermaxillary suture closes about eight years postnatally,A,anatomy,True,X
D,188,Which of the following paranasal sinuses open into the middle meatus?,The anterior ethmoidal sinuses,The anterior ethmoidal and frontal sinuses,"The anterior ethmoidal, frontal, maxillary and sphenoidal sinuses","The anterior ethmoidal, frontal and maxillary sinuses",D,anatomy,True,X
A,190,Palatine shelf elevation is due to the effect of,a combination of these three processes.,changes in flexure of the developing brain.,hydrophilic molecules increasing turgor pressure in the palatine shelves.,descent of the tongue.,A,anatomy,True,X
A,191,On which surfaces of the teeth is dental plaque most likely to accumulate in the mouth of a patient with poor oral hygiene?,The buccal surfaces of the upper molars and lingual surfaces of the lower incisors.,The palatal surfaces of the upper molars and lingual surfaces of the lower incisors.,The palatal surfaces of the upper molars and labial surfaces of the lower incisors.,The buccal surfaces of the upper molars and labial surfaces of the lower incisors.,A,anatomy,True,X
B,192,Laryngeal oedema is usually confined to the larynx above the vocal folds because,there are numerous mucous glands in the vestibular folds.,the mucosa covering the vocal folds is tightly attached to underlying tissues.,fluid will drain rapidly into the thorax below the vocal folds.,the mucosa above the vocal folds is more vascular than that below the vocal folds.,B,anatomy,True,X
A,193,The coronary arteries,arise from the arch of the aorta and fill during diastole.,arise from the ascending aorta and fill during diastole.,arise from the arch of the aorta and fill during systole.,arise from the ascending aorta and fill during systole.,B,anatomy,False,X
B,194,Which muscle is the most active during a right lateral excursion of the mandible?,Right lateral pterygoid muscle,Left lateral pterygoid muscle,Left medial pterygoid muscle,Right medial pterygoid muscle,B,anatomy,True,X
A,195,The phrenic nerves innervate the,"diaphragm, parietal pleura and pericardium.",diaphragm and parietal pleura.,"diaphragm, parietal pleura, pericardium and intercostals muscles.",diaphragm.,A,anatomy,True,X
C,196,Parasympathetic preganglionic nerves leave the central nervous system with the,fifth cranial nerves.,fourth cranial nerves.,third cranial nerves.,sixth cranial nerves.,C,anatomy,True,X
A,197,"In a patient with a normal healthy mouth, you would expect the mucosa covering the alveolar process supporting the mandibular teeth to be",red below the mucogingival junction and light pink above it.,light pink below the mucogingival junction and red above it.,light pink in colour on both sides of the mucogingigival junction.,red on both sides of the mucogingival junction.,A,anatomy,True,X
A,198,Macrostomia results from failure of fusion of,maxillary and mandibular processes.,left and right mandibular processes.,maxillary and frontonasal processes.,mandibular and hyoid arches.,A,anatomy,True,X
C,199,You suspect that your patient has an enlarged submandibular salivary gland. You expect the enlarged gland,to be palpable intraorally..,to be palpable extraorally.,to be palpable both intra- and extraorally.,only to be detectable by radiographical examination.,C,anatomy,True,X
B,200,Osteoclasts,deposit bone and differentiate from periosteal mesenchymal cells.,resorb bone and differentiate from periosteal mesenchymal cells.,deposit bone and differentiate from monocytes.,resorb bone and differentiate from monocytes.,D,anatomy,False,X
D,201,The lateral pterygoid muscle,is attached to the coronoid process and elevates the mandible.,is attached to the condylar process and elevates the mandible.,is attached to the coronoid process and protrudes the mandible.,is attached to the condylar process and protrudes the mandible.,D,anatomy,True,X
A,202,"In the fetus, the ductus arteriosus passes blood from the",pulmonary vein to the aorta.,aorta to pulmonary vein.,pulmonary artery to the aorta.,aorta to the pulmonary artery.,C,anatomy,False,X
B,205,The head of the sixth rib articulates with,The inferior articular facet of T5 and superior articular facet of T6.,The inferior articular demifacet of T5 and superior articular facet of T6.,The inferior articular demifacet of T5 and the superior articular demifacet of T6.,The superior and inferior demifacets of T6.,C,anatomy,False,X
B,206,Which of the following is located beneath the diaphragm in the left upper quadrant of the abdominal cavity?,Appendix,Spleen,Duodenum,Pancreas,B,anatomy,True,X
D,207,Proprioceptive nerve endings in synovial joints are located in,articular cartilage and synovial membrane.,synovial membrane and capsule.,capsule and ligaments.,ligaments and articular discs.,D,anatomy,True,X
A,208,The thoracic cage is a structural unit important for which of the following functions?,Alimentation,Menstruation,Mentation,Respiration,D,anatomy,False,X
B,209,A patient is admitted after a head injury and sinks rapidly into a coma. An MRI scan indicates an extradural haemorrhage because extravasated blood can be detected between the,dura mater and arachnoid.,skull bones and dura mater.,arachnoid and pia mater.,pia mater and brain surface.,B,anatomy,True,X
D,210,A successful infraorbital nerve block will produce anaesthesia of the,maxillary anterior teeth.,maxillary anterior teeth and their labial gingivae.,"maxillary anterior teeth, their labial gingivae, the upper lip and anterior hard palate.","maxillary anterior teeth, their labial gingivae and the upper lip.",D,anatomy,True,X
C,211,Which of the following foramina pierce the sphenoid bone?,The foramen ovale,The foramen ovale and rotundum,"The foramen ovale, rotundum and spinosum","The foramen ovale, rotundum and spinosum and foramen lacerum",C,anatomy,True,X
C,212,Which of the following is a disorder characterized by uncontrollable episodes of falling asleep during the day?,Dyslexia,Epilepsy,Narcolepsy,Hydrocephalus,C,anatomy,True,X
A,215,Fertilization of an ovum by a spermatozoon occurs in which of the following structures?,Fallopian tube,Cervix,Ovary,Uterus,A,anatomy,True,X
A,216,Ectoderm gives rise to,all three structures.,ectomesenchymal cells.,dental enamel.,the neural tube.,A,anatomy,True,X
B,217,"In men, which of the following structures is located at the neck of the bladder and surrounds the urethra?",Epididymis,Prostate,Scrotum,Seminal vesicle,B,anatomy,True,X
A,218,"Which of the following options completes the following statement? ""The right atrioventricular valve…""",is prevented from everting by papillary muscles.,is a semilunar valve,is open during systole.,prevents blood returning from the pulmonary trunk as the heart relaxes.,A,anatomy,True,X
D,219,Which one of the following brain areas is supplied by branches of the subclavian arteries?,The frontal lobe,The parietal lobe,The hypothalamus,The cerebellum,D,anatomy,True,X
C,220,Which of the following structures is part of the small intestine?,Ascending colon,Cecum,Ileum,Sigmoid colon,C,anatomy,True,X
A,221,During an inferior alveolar nerve block the needle ideally passes,posterior and medial to medial pterygoid.,through medial pterygoid.,anterior and lateral to medial pterygoid.,inferior to medial pterygoid.,C,anatomy,False,X
A,222,Patients with which of the following diseases are treated with injections of vitamin B-12?,Pernicious anemia,Crohn's disease,Bell's palsy,Graves' disease,A,anatomy,True,X
D,223,Which of the following bones has a process that joins with the zygomatic bone to form the zygomatic arch?,The maxillary bone,The frontal bone,The sphenoid bone,The temporal bone,D,anatomy,True,X
A,224,Parasympathetic preganglionic axons leave the CNS with the,sacral spinal nerves.,thoracic spinal nerves.,lumbar spinal nerves.,cervical spinal nerves.,A,anatomy,True,X
A,225,A patient with damage to their cervical sympathetic chain will show the following signs and symptoms.,Pupillary constriction,Pupillary constriction and vasodilation of facial vessels,"Pupillary constriction, vasodilation of facial vessels and increased facial sweating","Pupillary constriction, vasodilation of facial vessels, increased facial sweating and decreased lacrimation",B,anatomy,False,X
C,226,Which of the following cranial nerves is related to the sense of smell?,Abducens,Hypoglossal,Olfactory,Trochlear,C,anatomy,True,X
C,227,Where are the vital centres located in the brainstem?,midbrain,pons,medulla oblongata,cerebellum,C,anatomy,True,X
A,228,Saliva contains an enzyme that acts upon which of the following nutrients?,Starches,Proteins,Fats,Minerals,A,anatomy,True,X
C,229,During swallowing the,rima glottis opens.,cricopharyngeus muscle contracts.,auditory tube opens.,gag reflex is suspended.,C,anatomy,True,X
